UFR,Filière,Sexe,Niveau,Fréquence d'utilisation,Durée par session (min),Impact sur la motivation,Moyenne actuelle,Moyenne avant l'accès,Moyenne après l'accès,Temps d'étude/semaine (h),Usage de la connexion,Statut de réussite
ST,LM,Feminin,L2,Hebdomadaire,190,Augmenté,11.855220716313752,12.084422297329615,15.559643219362107,4,Recherche,1
SEG,HA,Masculin,L1,Hebdomadaire,130,Augmenté,3.609126002734179,11.52168559375479,5.608084298849335,5,Recherche,0
SEG,Geographie,Feminin,L3,Quotidienne,287,Inchangé,15.88396025393392,10.621268328741873,10.055872609840513,2,Réseaux sociax,0
LSH,SVT,Feminin,L3,Quotidienne,27,Inchangé,7.070055846301278,4.483800198513068,11.199427632434297,29,Autres,1
ST,MPCI,Feminin,L3,Hebdomadaire,92,Inchangé,7.330663297125755,9.236661688910633,7.8854324407159,11,Réseaux sociax,0
ST,HA,Masculin,L3,Hebdomadaire,249,Augmenté,17.223663911919356,9.669095127858157,13.151081029781844,15,Réseaux sociax,0
LSH,LM,Masculin,L2,Hebdomadaire,200,Diminué,10.546425340390575,6.013663114982635,16.8343312809346,19,Autres,1
SEG,MPCI,Masculin,L2,Hebdomadaire,91,Augmenté,9.18881027058576,5.205380956369174,14.887116780957895,8,Réseaux sociax,1
LSH,SVT,Feminin,L3,Hebdomadaire,65,Augmenté,14.430565987052145,10.349710436063805,9.228804093433443,6,Autres,0
ST,Geographie,Masculin,L1,Quotidienne,56,Diminué,16.468461335571916,14.822020465943117,4.352799035030364,24,Réseaux sociax,1
LSH,SEG,Masculin,L3,Quotidienne,92,Augmenté,15.640834315176235,3.9871317192219484,16.53759329846867,7,Autres,0
ST,Geographie,Masculin,L3,Quotidienne,9,Inchangé,6.302233356082931,9.03168065301929,16.61846273520333,28,Réseaux sociax,1
ST,LM,Feminin,L1,Hebdomadaire,46,Augmenté,8.608943502334682,7.529264184135903,12.62440096995118,9,Recherche,0
LSH,SVT,Feminin,L2,Hebdomadaire,194,Inchangé,3.655977623670365,14.948913116562636,8.556573712370103,13,Recherche,0
ST,Geographie,Masculin,L1,Quotidienne,64,Inchangé,4.218639997301938,4.010445347503492,7.6052944522347286,21,Recherche,1
SEG,HA,Feminin,L2,Quotidienne,27,Augmenté,14.137707638877092,15.772280012404073,7.323348133959788,8,Autres,0
LSH,SEG,Masculin,L1,Hebdomadaire,255,Augmenté,6.511760367919349,14.96071354065467,5.226302786970749,25,Recherche,0
SEG,SVT,Masculin,L2,Occasionnelle,24,Inchangé,16.02189965940911,15.260896271376174,15.550057613120208,20,Autres,1
ST,LM,Feminin,L2,Occasionnelle,204,Diminué,10.92676073696781,16.906041890878587,7.4476746818200565,13,Réseaux sociax,1
SEG,Philo,Feminin,L1,Occasionnelle,224,Augmenté,10.762921573544237,10.122695259582738,6.848507825994417,29,Réseaux sociax,1
LSH,LM,Masculin,L1,Quotidienne,188,Diminué,8.774488183415404,7.933116041122037,10.436756543066203,28,Recherche,0
LSH,Geographie,Masculin,L2,Hebdomadaire,59,Augmenté,14.463274950567666,12.521807297915322,10.946329981333246,18,Autres,1
LSH,Philo,Masculin,L2,Quotidienne,99,Diminué,4.093312988011097,5.474053268629859,10.188916749974121,8,Réseaux sociax,1
LSH,Philo,Feminin,L1,Occasionnelle,185,Augmenté,12.815656995894054,12.09883650808204,6.64920542514562,11,Autres,1
SEG,LM,Feminin,L3,Hebdomadaire,246,Augmenté,13.134909945593932,15.268863246274137,6.840975733272666,18,Recherche,0
LSH,Geographie,Feminin,L1,Hebdomadaire,103,Diminué,6.205944769837433,12.943104791432821,4.41937888860298,27,Recherche,0
SEG,SEG,Feminin,L2,Occasionnelle,91,Diminué,13.28944933040061,7.317776486554927,16.18456583127349,11,Autres,0
LSH,LM,Feminin,L3,Quotidienne,166,Inchangé,9.656621633841022,12.866320440674478,7.870094247074057,23,Réseaux sociax,0
ST,Philo,Masculin,L2,Quotidienne,114,Augmenté,13.491941704708841,8.224194437996797,12.93089079999842,28,Réseaux sociax,1
LSH,SEG,Masculin,L1,Occasionnelle,283,Inchangé,12.526317243724638,10.673994002493934,13.119107873814345,29,Réseaux sociax,1
SEG,SVT,Masculin,L3,Occasionnelle,124,Inchangé,11.05736470497381,10.686785094732574,10.470841299268741,16,Autres,0
LSH,Philo,Feminin,L2,Quotidienne,40,Inchangé,15.456693983064774,8.507228496670491,15.786503963151688,15,Réseaux sociax,0
SEG,SVT,Feminin,L2,Quotidienne,210,Inchangé,12.534417089361002,15.942368808381515,13.443025666452304,22,Autres,0
LSH,SEG,Feminin,L2,Quotidienne,115,Diminué,5.0126960195428545,11.720419367624222,4.158776184418588,13,Réseaux sociax,1
SEG,SVT,Feminin,L3,Occasionnelle,35,Inchangé,13.940216420709639,8.958001179213209,12.628070597500182,24,Autres,0
ST,SVT,Feminin,L2,Occasionnelle,204,Inchangé,16.56026065371442,14.905186825320891,5.375274131723534,26,Autres,0
ST,LM,Masculin,L2,Hebdomadaire,287,Augmenté,4.336592045674795,13.183974521566672,8.832946124393452,17,Recherche,1
ST,SEG,Masculin,L3,Hebdomadaire,65,Inchangé,5.406042444379075,11.239673033525207,4.82195387800393,5,Autres,0
ST,SVT,Masculin,L2,Occasionnelle,132,Augmenté,11.3723367207522,3.8268761450707016,11.899742283904532,9,Réseaux sociax,1
ST,SEG,Feminin,L2,Hebdomadaire,284,Augmenté,4.036366609177833,9.429838785433269,9.87453983616054,1,Réseaux sociax,1
ST,SEG,Masculin,L2,Quotidienne,101,Diminué,16.79706248648867,5.461779017094111,8.570358429587612,25,Autres,1
ST,SEG,Masculin,L3,Hebdomadaire,197,Augmenté,9.468747246363673,3.9714649505229707,3.594235538025731,17,Recherche,1
SEG,SVT,Feminin,L2,Occasionnelle,199,Augmenté,13.322786048334038,14.338699167565865,14.351057045998267,11,Réseaux sociax,1
ST,SEG,Feminin,L1,Occasionnelle,104,Inchangé,12.171934730225198,4.734783538249191,11.818787239303187,17,Recherche,0
LSH,MPCI,Masculin,L3,Hebdomadaire,95,Inchangé,4.032066509459251,6.966555480776657,10.344815968638894,6,Recherche,0
LSH,MPCI,Masculin,L3,Hebdomadaire,196,Inchangé,9.960504461621225,10.940642586234606,14.97812641088211,3,Réseaux sociax,1
LSH,LM,Masculin,L3,Hebdomadaire,12,Diminué,5.723683865725208,16.32707515381513,4.004223276202059,29,Réseaux sociax,0
SEG,SEG,Masculin,L2,Quotidienne,213,Inchangé,10.808427651795874,4.498748209097351,14.82927647573799,24,Recherche,1
LSH,MPCI,Feminin,L1,Hebdomadaire,187,Inchangé,15.883099173258445,16.851148648524013,13.538548417505847,18,Recherche,0
SEG,LM,Masculin,L3,Quotidienne,207,Diminué,4.444165274177062,14.885371008784741,6.538534063656308,20,Réseaux sociax,1
ST,SVT,Feminin,L1,Hebdomadaire,181,Inchangé,7.415300750246202,14.031557796069716,13.219844337385133,17,Recherche,1
LSH,SVT,Feminin,L3,Occasionnelle,59,Augmenté,4.069971656831771,10.006173636452868,11.194684312958696,28,Autres,1
SEG,MPCI,Masculin,L3,Quotidienne,115,Inchangé,8.20526054300333,8.172576097957904,13.964541165168251,7,Autres,0
ST,HA,Masculin,L1,Occasionnelle,225,Augmenté,11.33620653393972,6.111060370120751,14.839698517859137,2,Réseaux sociax,1
LSH,SEG,Feminin,L1,Occasionnelle,208,Augmenté,8.163227245900535,9.345763316144868,6.064134054825498,5,Réseaux sociax,0
SEG,SVT,Masculin,L1,Quotidienne,221,Diminué,7.190862241873786,5.801787659139707,5.978073577700247,5,Réseaux sociax,0
LSH,SVT,Masculin,L1,Occasionnelle,36,Inchangé,10.733896649930514,4.800551061469376,15.676040382533042,1,Recherche,0
SEG,LM,Feminin,L1,Quotidienne,151,Inchangé,5.681079691890363,15.122619687087301,14.036518861272217,2,Réseaux sociax,0
ST,SEG,Masculin,L3,Hebdomadaire,64,Diminué,15.027133780065645,11.257633646652646,5.340015981824065,2,Réseaux sociax,1
LSH,MPCI,Feminin,L1,Occasionnelle,117,Inchangé,15.942966169488411,9.144212740193684,4.021191680112813,5,Recherche,1
LSH,Philo,Feminin,L1,Quotidienne,230,Augmenté,16.013548563563685,11.63965399649843,9.55144580726184,9,Recherche,0
LSH,HA,Masculin,L1,Occasionnelle,248,Inchangé,8.267159651766086,14.162792759585972,16.30865780744565,3,Réseaux sociax,0
ST,SEG,Feminin,L2,Occasionnelle,34,Diminué,14.662039240507093,10.6446183067318,9.895944931284163,22,Recherche,1
LSH,MPCI,Feminin,L1,Occasionnelle,23,Augmenté,15.709267690441724,16.17181009343914,11.994584437251776,17,Recherche,0
ST,Philo,Masculin,L2,Quotidienne,139,Inchangé,3.887526992492173,10.399151050581127,4.855770091206009,9,Réseaux sociax,0
LSH,Geographie,Feminin,L2,Quotidienne,255,Diminué,16.367193919704615,6.317152330308349,16.53127433000168,13,Réseaux sociax,1
SEG,Philo,Feminin,L3,Hebdomadaire,63,Augmenté,12.899216225402462,4.501629609625921,5.962541702319919,23,Recherche,0
SEG,MPCI,Feminin,L2,Occasionnelle,139,Augmenté,12.666227079987735,5.193468780396375,11.980303830380587,29,Autres,0
ST,SEG,Feminin,L1,Quotidienne,286,Augmenté,8.56967207996566,12.429066873431266,15.660671329887053,22,Autres,1
SEG,SVT,Masculin,L1,Hebdomadaire,59,Diminué,5.975807816854245,8.008939691900263,9.323372803682219,8,Autres,0
SEG,SEG,Masculin,L1,Hebdomadaire,207,Inchangé,16.459600705078486,16.0131351076692,3.784774169365989,21,Recherche,1
ST,Philo,Masculin,L1,Quotidienne,121,Diminué,8.099737690841483,14.563097659404367,6.669834406045696,11,Réseaux sociax,1
SEG,Geographie,Masculin,L1,Hebdomadaire,52,Augmenté,10.950097118088268,6.409531361792828,6.907433753119604,15,Recherche,0
LSH,MPCI,Feminin,L3,Quotidienne,53,Diminué,7.57890326821338,16.708483779109592,12.556860821006367,2,Autres,0
LSH,LM,Masculin,L1,Occasionnelle,136,Inchangé,17.328322746318015,15.295554814426174,4.714245376459489,10,Recherche,1
LSH,Philo,Masculin,L3,Quotidienne,191,Inchangé,14.57222708810031,13.728000090485475,16.032979200122227,19,Autres,1
LSH,Philo,Feminin,L2,Hebdomadaire,76,Diminué,16.577271681424033,14.378529178150066,8.755463766268296,20,Réseaux sociax,1
SEG,HA,Masculin,L2,Hebdomadaire,274,Augmenté,9.10850832703084,4.381548585240789,7.37961457369215,17,Autres,0
SEG,SEG,Feminin,L1,Hebdomadaire,133,Inchangé,14.72122501652979,13.89398010276363,8.49394390908084,13,Autres,0
SEG,LM,Feminin,L2,Occasionnelle,148,Augmenté,17.333441624985703,7.67532197925712,5.351533080670702,3,Réseaux sociax,1
ST,LM,Feminin,L1,Occasionnelle,102,Inchangé,16.89607776112793,10.647947868307696,7.6396250122213125,4,Réseaux sociax,0
LSH,HA,Masculin,L2,Occasionnelle,180,Augmenté,10.468570467096932,7.245739235921038,13.285221996002866,26,Autres,1
LSH,HA,Masculin,L2,Hebdomadaire,130,Augmenté,11.182295706069105,10.654422474587768,3.8294538250577985,22,Autres,1
SEG,Geographie,Masculin,L3,Hebdomadaire,133,Inchangé,14.923658266816279,14.776076461161262,14.87827732127753,1,Autres,1
SEG,SVT,Masculin,L1,Quotidienne,233,Diminué,12.213973058857182,12.339256458329295,7.237704239671961,2,Recherche,0
ST,HA,Masculin,L1,Occasionnelle,171,Augmenté,7.326297092318021,4.555404192514265,9.717579573966386,22,Autres,0
ST,MPCI,Feminin,L2,Occasionnelle,261,Diminué,16.213229287194487,12.094311951822107,12.235846336145814,21,Recherche,0
SEG,MPCI,Masculin,L3,Occasionnelle,166,Inchangé,10.600662556692525,9.789133119291094,4.455128800987047,10,Recherche,0
ST,Geographie,Masculin,L3,Quotidienne,291,Augmenté,7.780337963770299,9.769777409720145,4.897184211781266,18,Autres,0
ST,SVT,Feminin,L2,Occasionnelle,223,Diminué,8.594981194954588,16.61585636854157,7.808096151219519,16,Autres,1
LSH,HA,Masculin,L1,Occasionnelle,266,Augmenté,15.812618546980795,6.386220103570245,11.652818690575883,4,Recherche,1
ST,MPCI,Masculin,L3,Quotidienne,41,Augmenté,10.645448099315043,14.713612561265496,7.216476076809237,21,Recherche,1
LSH,Geographie,Feminin,L1,Hebdomadaire,163,Diminué,11.295866668538071,10.443639464579682,14.51315494677694,1,Autres,0
SEG,MPCI,Masculin,L1,Quotidienne,143,Inchangé,8.450612215162455,11.81573273726583,15.504433694512693,12,Autres,1
LSH,Philo,Masculin,L3,Quotidienne,288,Augmenté,15.377033563159806,10.101463385363214,13.318413418193058,4,Autres,1
SEG,Philo,Feminin,L2,Hebdomadaire,190,Augmenté,7.477634057691459,9.92489049940188,12.117868491838976,21,Autres,1
ST,HA,Feminin,L1,Occasionnelle,192,Augmenté,9.209133035819931,3.5093096002292876,8.886850508629273,8,Réseaux sociax,0
ST,Philo,Feminin,L2,Hebdomadaire,271,Diminué,14.859241511095503,7.4275396706115435,14.08816351619955,27,Recherche,1
ST,MPCI,Feminin,L1,Hebdomadaire,46,Inchangé,13.3523624538808,6.258749412611392,3.8789931986118136,12,Recherche,1
SEG,LM,Feminin,L1,Quotidienne,242,Augmenté,17.385128834481996,12.72225662345923,11.353534058534539,21,Recherche,0
ST,LM,Masculin,L1,Occasionnelle,273,Diminué,16.476564683806032,15.605929175363938,11.263715301791606,30,Recherche,0
SEG,MPCI,Feminin,L2,Hebdomadaire,96,Inchangé,9.810967958357365,5.360453275067441,8.887991654738926,1,Autres,1
LSH,MPCI,Feminin,L1,Hebdomadaire,178,Inchangé,14.145665235768199,6.261359740009736,13.271452106408752,12,Autres,1
ST,SVT,Masculin,L1,Quotidienne,115,Diminué,4.442024490777767,9.994976835816114,14.76931138608941,17,Autres,1
ST,SVT,Masculin,L1,Hebdomadaire,164,Diminué,9.29250633293909,5.552872425887317,11.471006906874898,29,Recherche,0
LSH,SVT,Feminin,L1,Quotidienne,138,Augmenté,13.523669064179852,8.091522113488777,9.773281469859807,6,Autres,1
SEG,Geographie,Feminin,L3,Occasionnelle,117,Inchangé,7.405633796886528,4.913488325572642,8.89211210482152,5,Recherche,1
ST,Geographie,Masculin,L3,Occasionnelle,176,Diminué,11.785876566174155,7.946968337437715,6.438530019192278,7,Recherche,1
LSH,Geographie,Masculin,L2,Occasionnelle,203,Inchangé,10.053058493108455,4.811843851136384,8.712820580313002,10,Réseaux sociax,1
ST,SVT,Masculin,L3,Quotidienne,8,Diminué,13.381362941739487,4.188778567174845,12.996686726533008,8,Recherche,1
LSH,MPCI,Masculin,L3,Quotidienne,293,Diminué,11.997383716235976,10.327405386614066,12.426824912214649,21,Autres,1
SEG,HA,Feminin,L1,Hebdomadaire,137,Inchangé,8.974107441624938,11.49681219099552,10.09916536753518,17,Recherche,0
LSH,Geographie,Masculin,L2,Hebdomadaire,272,Diminué,8.778610725987807,15.296295454305746,6.718951953211909,14,Réseaux sociax,0
SEG,MPCI,Feminin,L2,Hebdomadaire,25,Diminué,9.96730416415689,11.487520417723703,9.524438847738782,29,Réseaux sociax,1
SEG,LM,Feminin,L1,Hebdomadaire,159,Augmenté,8.492410217837516,4.27435477021664,11.54621149236085,16,Recherche,0
ST,SVT,Feminin,L2,Occasionnelle,154,Inchangé,8.597355879777538,14.648952633387195,6.191843360008508,29,Recherche,0
ST,SEG,Feminin,L3,Hebdomadaire,253,Inchangé,13.526891395690718,16.864614901090853,3.8023866141899276,26,Réseaux sociax,1
LSH,HA,Feminin,L2,Hebdomadaire,283,Diminué,3.9416186201014014,8.888719203255881,16.42097719768673,26,Recherche,1
SEG,HA,Masculin,L2,Hebdomadaire,59,Diminué,11.938151850449376,5.324711658582991,14.237461216915111,24,Réseaux sociax,1
ST,MPCI,Masculin,L3,Occasionnelle,141,Inchangé,16.66917574401885,10.081286344522898,16.364479966620188,16,Autres,0
SEG,HA,Feminin,L1,Quotidienne,280,Diminué,12.37515399470503,7.029734748910507,10.330961399221817,8,Autres,1
LSH,SEG,Masculin,L3,Occasionnelle,90,Inchangé,4.811989899941403,9.393411158811789,16.56471149358965,26,Réseaux sociax,1
LSH,HA,Masculin,L2,Occasionnelle,223,Diminué,15.494655534375191,10.058201600715762,6.057075490294919,5,Recherche,1
SEG,HA,Feminin,L2,Quotidienne,127,Augmenté,9.951115765164381,3.6064649466533503,9.706718722717504,5,Réseaux sociax,1
LSH,LM,Masculin,L2,Hebdomadaire,160,Inchangé,7.839435668813486,7.647819079008329,3.5744003075335073,16,Autres,1
ST,LM,Feminin,L3,Quotidienne,173,Augmenté,8.710427753218593,11.244584682146312,9.692372593487214,5,Autres,1
LSH,SVT,Feminin,L2,Hebdomadaire,294,Augmenté,17.452561008777,11.664559401835705,5.6656495095409936,22,Recherche,1
SEG,HA,Masculin,L1,Quotidienne,181,Diminué,12.868328440538576,3.7693761918285014,7.8897873697010645,29,Recherche,0
LSH,LM,Feminin,L2,Occasionnelle,99,Inchangé,8.80038169450313,14.005393091068862,16.380152979516975,4,Recherche,1
SEG,SVT,Masculin,L2,Occasionnelle,36,Augmenté,12.925595500181949,6.847106050201127,3.5267252752550973,18,Recherche,0
SEG,SEG,Masculin,L1,Hebdomadaire,159,Augmenté,9.907381456303424,11.927554179650004,15.524424459885328,7,Réseaux sociax,0
ST,Philo,Feminin,L2,Hebdomadaire,193,Augmenté,10.173158285718351,10.515280937640068,5.008020716010033,21,Autres,0
SEG,SVT,Feminin,L3,Hebdomadaire,188,Augmenté,13.535216938478735,14.54420333832268,10.853923366748676,19,Recherche,0
SEG,MPCI,Feminin,L1,Occasionnelle,108,Inchangé,8.330076982199827,8.530273429137125,12.772273451905697,12,Autres,0
LSH,Philo,Masculin,L2,Occasionnelle,169,Inchangé,14.050551651435974,4.50127713602906,7.631641711838007,2,Autres,1
LSH,SEG,Masculin,L3,Hebdomadaire,8,Diminué,10.126035385536667,10.168784606126735,9.75487922077464,27,Recherche,0
ST,Philo,Masculin,L1,Occasionnelle,146,Inchangé,15.107608354916778,9.933885721452992,16.797514119500995,20,Recherche,1
SEG,SVT,Masculin,L2,Quotidienne,213,Inchangé,3.5592627546735587,14.35940015995932,10.653061006362057,5,Réseaux sociax,1
SEG,SEG,Feminin,L1,Hebdomadaire,236,Augmenté,17.201576170315338,16.664340204192122,15.944202564975301,15,Réseaux sociax,1
ST,MPCI,Feminin,L2,Hebdomadaire,199,Diminué,14.776890409679856,8.712910244572655,11.641686608997652,11,Autres,1
ST,SEG,Masculin,L2,Occasionnelle,29,Augmenté,4.2742719530218825,3.5234644781467606,11.932048300191786,7,Réseaux sociax,0
ST,Philo,Feminin,L2,Occasionnelle,284,Inchangé,6.942256934140872,4.823450576301154,15.263170610121511,6,Recherche,0
SEG,SVT,Masculin,L2,Occasionnelle,155,Augmenté,14.693129238738313,9.340769137349962,11.752639334933876,18,Autres,0
SEG,Philo,Masculin,L2,Hebdomadaire,124,Augmenté,12.43989158685949,4.207342172796825,13.013404339013489,6,Réseaux sociax,0
ST,SEG,Masculin,L2,Quotidienne,111,Augmenté,10.4955237827966,9.117525647555365,8.664820890569043,17,Recherche,0
SEG,Geographie,Feminin,L2,Occasionnelle,108,Augmenté,12.35623692446207,10.527289006722953,5.894406289782074,30,Réseaux sociax,0
ST,SEG,Masculin,L2,Occasionnelle,60,Inchangé,12.752143571923922,16.307118732851766,14.403924498238396,10,Autres,1
ST,SEG,Masculin,L3,Hebdomadaire,230,Augmenté,14.322965394683946,6.933358554422089,14.7150125272682,25,Recherche,0
SEG,Geographie,Masculin,L2,Quotidienne,193,Inchangé,12.794463104385942,5.275878187131159,5.395662028645948,4,Recherche,1
ST,HA,Masculin,L2,Quotidienne,197,Inchangé,9.916189172591785,7.11366437794684,8.154171602173761,8,Réseaux sociax,0
SEG,LM,Feminin,L3,Occasionnelle,6,Inchangé,10.90075760507232,10.73991380386407,13.015989506071449,18,Réseaux sociax,0
LSH,MPCI,Feminin,L3,Quotidienne,70,Diminué,13.647703332721813,5.806318083543455,11.917534823479661,11,Réseaux sociax,1
ST,Philo,Masculin,L3,Quotidienne,56,Diminué,17.108667842992254,8.539742189907416,6.9078920287630945,7,Autres,1
ST,HA,Feminin,L1,Occasionnelle,245,Inchangé,4.796867997435442,15.216169390954011,10.23194583210941,8,Recherche,0
ST,Geographie,Masculin,L1,Occasionnelle,249,Augmenté,4.986540933108323,9.308550443443512,13.688397194034902,29,Réseaux sociax,1
ST,SVT,Feminin,L2,Occasionnelle,229,Augmenté,12.323129005951397,6.04074199549446,11.442149899829598,13,Réseaux sociax,1
LSH,SEG,Feminin,L1,Occasionnelle,236,Augmenté,11.799450581748587,5.03380567489584,15.40838960032837,12,Réseaux sociax,0
SEG,Philo,Masculin,L2,Quotidienne,203,Diminué,7.596605117356249,4.015558266027648,8.841877718341784,30,Réseaux sociax,1
LSH,SVT,Feminin,L3,Quotidienne,279,Inchangé,14.610491982091734,14.308520840133939,5.000057111994474,26,Recherche,0
SEG,SVT,Feminin,L1,Occasionnelle,155,Inchangé,12.849640277165363,13.217937918954485,14.893554503204108,2,Réseaux sociax,1
ST,HA,Feminin,L2,Quotidienne,10,Diminué,16.791800884842853,15.375709541873386,4.098501105675331,25,Réseaux sociax,1
LSH,Geographie,Feminin,L3,Quotidienne,56,Augmenté,4.376781763879625,16.2288797285794,8.237364863664945,8,Réseaux sociax,0
ST,LM,Feminin,L3,Hebdomadaire,80,Diminué,14.75242744836822,15.68417206958306,15.875596747634633,9,Réseaux sociax,1
LSH,SVT,Masculin,L1,Quotidienne,205,Inchangé,14.897214704877154,16.973179310882575,10.67325688653229,28,Réseaux sociax,0
SEG,Philo,Masculin,L2,Occasionnelle,239,Diminué,16.948845261423287,16.497873629635116,14.40983924443992,21,Recherche,1
SEG,MPCI,Masculin,L3,Occasionnelle,79,Diminué,16.94142543838715,12.543314102844459,7.391107614946243,1,Recherche,0
ST,MPCI,Feminin,L2,Occasionnelle,115,Augmenté,4.234248545673187,16.226518715637212,13.534123291383164,19,Réseaux sociax,1
LSH,LM,Masculin,L2,Hebdomadaire,279,Inchangé,3.529029313648386,12.564372863833237,9.95554560282679,5,Autres,0
SEG,Philo,Masculin,L3,Occasionnelle,177,Inchangé,15.45663165364522,9.319651751776076,11.699100328118707,18,Réseaux sociax,0
ST,SEG,Feminin,L1,Occasionnelle,238,Diminué,10.531552771191883,16.34013636053143,14.374102098303402,5,Recherche,0
SEG,LM,Masculin,L2,Hebdomadaire,118,Augmenté,7.51621355188777,14.35150820046576,16.645361197508933,20,Recherche,0
LSH,Philo,Masculin,L2,Quotidienne,12,Augmenté,5.686955982052806,14.92300788706025,10.308439526074196,25,Autres,1
LSH,Philo,Masculin,L3,Quotidienne,117,Inchangé,15.019916359435753,4.774038743659095,6.846072964369137,22,Recherche,1
SEG,HA,Masculin,L2,Hebdomadaire,224,Diminué,12.77006062307238,4.28779198796155,13.945915212610622,21,Réseaux sociax,0
SEG,MPCI,Feminin,L2,Hebdomadaire,99,Augmenté,6.286066970737397,14.020489509171831,6.39543260950791,30,Autres,1
LSH,LM,Masculin,L2,Occasionnelle,155,Diminué,5.231201098656332,15.561733652607925,5.91884351582327,24,Réseaux sociax,0
ST,SEG,Masculin,L1,Quotidienne,88,Augmenté,8.680140047536074,7.751480075795095,9.974175589604023,4,Recherche,1
SEG,Philo,Feminin,L2,Quotidienne,238,Diminué,7.2850566549344675,15.65266158529258,6.689195679921817,20,Réseaux sociax,1
LSH,MPCI,Masculin,L1,Quotidienne,196,Augmenté,12.644413552734049,6.483812029249928,13.471154319415438,20,Réseaux sociax,1
SEG,Geographie,Feminin,L2,Hebdomadaire,235,Diminué,13.594735966391688,8.599723966389451,4.342556286421497,20,Recherche,0
SEG,Philo,Masculin,L3,Quotidienne,261,Diminué,9.045881134539547,15.644373802272813,5.416651921647589,6,Autres,1
SEG,SEG,Feminin,L3,Quotidienne,207,Augmenté,16.157247767321287,14.50682221764111,8.287917401696902,8,Réseaux sociax,0
LSH,SVT,Masculin,L2,Quotidienne,275,Augmenté,7.598179536856333,15.916111159433935,6.678321604649597,28,Réseaux sociax,0
LSH,HA,Feminin,L2,Occasionnelle,16,Diminué,10.98365555191498,6.285873484523439,11.325355545222429,27,Réseaux sociax,0
SEG,SVT,Feminin,L1,Quotidienne,139,Diminué,7.937920103565272,10.38013507328393,5.586725167471313,19,Recherche,0
ST,LM,Feminin,L1,Hebdomadaire,147,Augmenté,6.589075531472025,13.728222701418321,13.25414335126566,12,Recherche,0
SEG,Philo,Feminin,L3,Hebdomadaire,81,Inchangé,10.938165354336821,5.237203653005634,14.932252696178587,30,Recherche,0
SEG,LM,Masculin,L2,Occasionnelle,12,Diminué,11.104928979257725,14.682075781817353,11.642627346261254,18,Autres,0
